nombre_empresa,estado,porcentaje_recargo,porcentaje_devolucion,dia_facturacion,dia_vencimiento,monto_maximo,monto_acumulado,rut_empresa,cuenta_corriente
AUSENCO CHILE LIMITADA (M22463-7),1,30,1.00,21,15,1000000,0,78727440-4,M22463-7
AUSENCO CHILE LIMITADA (M23382-2),1,30,1.00,21,15,1000000,0,78727440-4,M23382-2
BESALCO  MONTAJES S.A. (M23292-3),1,30,1.00,21,15,1000000,0,99564360-K,M23292-3
BESALCO  MONTAJES S.A. (M23297-4),1,30,1.00,21,15,1000000,0,99564360-K,M23297-4
BESALCO MAQUINARIAS S.A.  (M20432-6),1,30,1.00,21,15,1,0,79633220-4,M20432-6
BESALCO MAQUINARIAS S.A.  (M22475-0),1,30,1.00,21,15,1000000,0,79633220-4,M22475-0
BESALCO MAQUINARIAS S.A.  (M22478-5),1,30,1.00,21,15,1000000,0,79633220-4,M22478-5
BESALCO MAQUINARIAS S.A.  (M23725-9),1,30,1.00,21,15,1000000,0,79633220-4,M23725-9
BESALCO MINERIA S.A. (M23576-0),1,30,1.00,21,15,1000000,0,96727830-0,M23576-0
BESALCO MINERIA S.A. (M23577-9),1,30,1.00,21,15,1000000,0,96727830-0,M23577-9
BESALCO MINERIA S.A. (M23641-4),1,30,1.00,21,15,1000000,0,96727830-0,M23641-4
BESALCO MINERIA S.A. (M23661-9),1,30,1.00,21,15,1000000,0,96727830-0,M23661-9
BESALCO MINERIA S.A. (M23702-K),1,30,1.00,21,15,1000000,0,96727830-0,M23702-K
BESALCO MINERIA S.A. (M23703-8),1,30,1.00,21,15,1000000,0,96727830-0,M23703-8
BESALCO MINERIA S.A. (M23704-6),1,30,1.00,21,15,1000000,0,96727830-0,M23704-6
BESALCO MINERIA S.A. (M23706-2),1,30,1.00,21,15,1000000,0,96727830-0,M23706-2
BUREAU VERITAS CHILE S.A. (M22607-9),1,30,1.00,21,15,1000000,0,96663470-7,M22607-9
BUREAU VERITAS CHILE S.A. (M22824-1),1,30,1.00,21,15,1000000,0,96663470-7,M22824-1
CENTRAL DE RESTAURANTES ARAMARK LIMITADA (B00074-5),1,30,1.00,21,15,1,0,76178360-2,B00074-5
CENTRAL DE RESTAURANTES ARAMARK LIMITADA (M22110-7),1,30,1.00,21,15,2500000,0,76178360-2,M22110-7
CONSTRUCTORA DE PAVIMENTOS ASFALTICOS BI (M20342-7),1,30,1.00,21,15,1,0,84060600-7,M20342-7
CONSTRUCTORA DE PAVIMENTOS ASFALTICOS BI (M20824-0),1,30,1.00,21,15,110000000,0,84060600-7,M20824-0
CONSTRUCTORA EXCON S.A. (M21368-6),1,30,1.00,21,15,2500000,0,76443280-0,M21368-6
CONSTRUCTORA EXCON S.A. (M21390-2),1,30,1.00,21,15,2500000,0,76443280-0,M21390-2
CONSTRUCTORA EXCON S.A. (M22695-8),1,30,1.00,21,15,1000000,0,76443280-0,M22695-8
CONSTRUCTORA EXCON S.A. (M23109-9),1,30,1.00,21,15,1000000,0,76443280-0,M23109-9
CONSTRUCTORA EXCON S.A. (M23179-K),1,30,1.00,21,15,1000000,0,76443280-0,M23179-K
CONSTRUCTORA INCA LTDA. (B15405-K),1,30,1.00,21,15,1,0,84394000-5,B15405-K
CONSTRUCTORA INCA LTDA. (M21168-3),1,30,1.00,21,15,2500000,0,84394000-5,M21168-3
CORP NACIONAL DE DESARROLLO INDIGENA (I14002-1),1,30,1.00,21,15,1,0,72396000-2,I14002-1
CORP NACIONAL DE DESARROLLO INDIGENA (M21024-5),1,30,1.00,21,15,2500000,0,72396000-2,M21024-5
EMIN ING.Y CONSTRUCCION LTDA (M20348-6),1,30,1.00,21,15,1,0,79527230-5,M20348-6
EMIN ING.Y CONSTRUCCION LTDA (M20350-8),1,30,1.00,21,15,1,0,79527230-5,M20350-8
EMIN ING.Y CONSTRUCCION LTDA (M23473-K),1,30,1.00,21,15,1000000,0,79527230-5,M23473-K
FLESAN MINERIA S.A. (M23298-2),1,30,1.00,21,15,1000000,0,76727168-9,M23298-2
FLESAN MINERIA S.A. (M23721-6),1,30,1.00,21,15,1000000,0,76727168-9,M23721-6
FLS SMIDTH S.A. (M22259-6),1,30,1.00,21,15,2500000,0,89664200-6,M22259-6
FLS SMIDTH S.A. (M23315-6),1,30,1.00,21,15,1000000,0,89664200-6,M23315-6
FLS SMIDTH S.A. (M23374-1),1,30,1.00,21,15,1000000,0,89664200-6,M23374-1
FLS SMIDTH S.A. (M23580-9),1,30,1.00,21,15,1000000,0,89664200-6,M23580-9
FLS SMIDTH S.A. (M23700-3),1,30,1.00,21,15,1000000,0,89664200-6,M23700-3
FUND DE BENEFICENCIA HOGAR DE CRISTO (B15132-8),1,30,1.00,21,15,1,0,81496800-6,B15132-8
FUND DE BENEFICENCIA HOGAR DE CRISTO (D46126-K),1,30,1.00,21,15,1,0,81496800-6,D46126-K
GEORGES CHARIF SAID HOTELERIA RESTAUTANT (C23281-K),1,30,1.00,21,15,1,0,52003237-1,C23281-K
GEORGES CHARIF SAID HOTELERIA RESTAUTANT (C23314-K),1,30,1.00,21,15,1,0,52003237-1,C23314-K
INGENIERIA Y CONSTRUCCION SIGDO KOPPER (M22662-1),1,30,1.00,21,15,1000000,0,91915000-9,M22662-1
INGENIERIA Y CONSTRUCCION SIGDO KOPPER (M22666-4),1,30,1.00,21,15,1000000,0,91915000-9,M22666-4
INGENIERIA Y CONSTRUCCION SIGDO KOPPER (M22681-8),1,30,1.00,21,15,1000000,0,91915000-9,M22681-8
INGENIERIA Y CONSTRUCCION SIGDO KOPPER (M22750-4),1,30,1.00,21,15,1000000,0,91915000-9,M22750-4
INGENIERIA Y CONSTRUCCION SIGDO KOPPER (M22751-2),1,30,1.00,21,15,1000000,0,91915000-9,M22751-2
INGENIERIA Y CONSTRUCCION SIGDO KOPPER (M22752-0),1,30,1.00,21,15,1000000,0,91915000-9,M22752-0
INGENIERIA Y CONSTRUCCION SIGDO KOPPER (M22780-6),1,30,1.00,21,15,1000000,0,91915000-9,M22780-6
INGENIERIA Y CONSTRUCCION SIGDO KOPPER (M22782-2),1,30,1.00,21,15,1000000,0,91915000-9,M22782-2
INGENIERIA Y CONSTRUCCION SIGDO KOPPER (M23004-1),1,30,1.00,21,15,1000000,0,91915000-9,M23004-1
INGENIERIA Y CONSTRUCCION SIGDO KOPPER (M23005-K),1,30,1.00,21,15,1000000,0,91915000-9,M23005-K
INGENIERIA Y CONSTRUCCION SIGDO KOPPER (M23006-8),1,30,1.00,21,15,1000000,0,91915000-9,M23006-8
INGENIERIA Y CONSTRUCCION SIGDO KOPPER (M23020-3),1,30,1.00,21,15,1000000,0,91915000-9,M23020-3
INGENIERIA Y CONSTRUCCION SIGDO KOPPER (M23176-5),1,30,1.00,21,15,1000000,0,91915000-9,M23176-5
INGENIERIA Y CONSTRUCCION SIGDO KOPPER (M23199-4),1,30,1.00,21,15,1000000,0,91915000-9,M23199-4
INGENIERIA Y CONSTRUCCION SIGDO KOPPER (M23288-5),1,30,1.00,21,15,1000000,0,91915000-9,M23288-5
JEFATURA DE TRANPORTE DEL EJERCITO (M22213-8),1,30,1.00,21,15,2500000,0,61101466-K,M22213-8
JEFATURA DE TRANPORTE DEL EJERCITO (M22224-3),1,30,1.00,21,15,2500000,0,61101466-K,M22224-3
METSO CHILE SPA (M23353-9),1,30,1.00,21,15,1000000,0,93077000-0,M23353-9
METSO CHILE SPA (M23745-3),1,30,1.00,21,15,1000000,0,93077000-0,M23745-3
METSO OUTOTEC INDUSTRIAL SERVICES SPA (M23355-5),1,30,1.00,21,15,1000000,0,77276280-1,M23355-5
METSO OUTOTEC INDUSTRIAL SERVICES SPA (M23356-3),1,30,1.00,21,15,1000000,0,77276280-1,M23356-3
NEWREST CATERING CHILE  (M00040-2),1,30,1.00,21,15,10000000,0,96651910-K,M00040-2
NEWREST CATERING CHILE  (M21208-6),1,30,1.00,21,15,2500000,0,96651910-K,M21208-6
NEWREST CATERING CHILE  (M21209-4),1,30,1.00,21,15,2500000,0,96651910-K,M21209-4
NEWREST CATERING CHILE  (M21210-8),1,30,1.00,21,15,2500000,0,96651910-K,M21210-8
NEWREST CATERING CHILE  (M21211-6),1,30,1.00,21,15,2500000,0,96651910-K,M21211-6
NEWREST CATERING CHILE  (M21212-4),1,30,1.00,21,15,2500000,0,96651910-K,M21212-4
NEWREST CATERING CHILE  (M21214-0),1,30,1.00,21,15,2500000,0,96651910-K,M21214-0
NEWREST CATERING CHILE  (M21215-9),1,30,1.00,21,15,2500000,0,96651910-K,M21215-9
NEWREST CATERING CHILE  (M21216-7),1,30,1.00,21,15,2500000,0,96651910-K,M21216-7
NEWREST CATERING CHILE  (M21217-5),1,30,1.00,21,15,2500000,0,96651910-K,M21217-5
NEWREST CATERING CHILE  (M21218-3),1,30,1.00,21,15,2500000,0,96651910-K,M21218-3
NEWREST CATERING CHILE  (M21219-1),1,30,1.00,21,15,2500000,0,96651910-K,M21219-1
NEWREST CATERING CHILE  (M21220-5),1,30,1.00,21,15,2500000,0,96651910-K,M21220-5
NEWREST CATERING CHILE  (M21221-3),1,30,1.00,21,15,2500000,0,96651910-K,M21221-3
NEWREST CATERING CHILE  (M21222-1),1,30,1.00,21,15,2500000,0,96651910-K,M21222-1
NEWREST CATERING CHILE  (M21223-K),1,30,1.00,21,15,2500000,0,96651910-K,M21223-K
NEWREST CATERING CHILE  (M21224-8),1,30,1.00,21,15,2500000,0,96651910-K,M21224-8
NEWREST CATERING CHILE  (M21227-2),1,30,1.00,21,15,2500000,0,96651910-K,M21227-2
NEWREST CATERING CHILE  (M21230-2),1,30,1.00,21,15,2500000,0,96651910-K,M21230-2
NEWREST CATERING CHILE  (M21231-0),1,30,1.00,21,15,2500000,0,96651910-K,M21231-0
NEWREST CATERING CHILE  (M21232-9),1,30,1.00,21,15,2500000,0,96651910-K,M21232-9
NEWREST CATERING CHILE  (M21233-7),1,30,1.00,21,15,2500000,0,96651910-K,M21233-7
NEWREST CATERING CHILE  (M21235-3),1,30,1.00,21,15,2500000,0,96651910-K,M21235-3
NEWREST CATERING CHILE  (M21237-K),1,30,1.00,21,15,2500000,0,96651910-K,M21237-K
NEWREST CATERING CHILE  (M21238-8),1,30,1.00,21,15,2500000,0,96651910-K,M21238-8
NEWREST CATERING CHILE  (M21270-1),1,30,1.00,21,15,2500000,0,96651910-K,M21270-1
NEWREST CATERING CHILE  (M21300-7),1,30,1.00,21,15,2500000,0,96651910-K,M21300-7
NEWREST CATERING CHILE  (M21537-9),1,30,1.00,21,15,2500000,0,96651910-K,M21537-9
NEWREST CATERING CHILE  (M21840-8),1,30,1.00,21,15,2500000,0,96651910-K,M21840-8
NEWREST CATERING CHILE  (M21841-6),1,30,1.00,21,15,2500000,0,96651910-K,M21841-6
NEWREST CATERING CHILE  (M21842-4),1,30,1.00,21,15,2500000,0,96651910-K,M21842-4
NEWREST CATERING CHILE  (M21843-2),1,30,1.00,21,15,2500000,0,96651910-K,M21843-2
NEWREST CATERING CHILE  (M21844-0),1,30,1.00,21,15,2500000,0,96651910-K,M21844-0
NEWREST CATERING CHILE  (M21845-9),1,30,1.00,21,15,2500000,0,96651910-K,M21845-9
NEWREST CATERING CHILE  (M21846-7),1,30,1.00,21,15,2500000,0,96651910-K,M21846-7
NEWREST CATERING CHILE  (M21850-5),1,30,1.00,21,15,2500000,0,96651910-K,M21850-5
NEWREST CATERING CHILE  (M21932-3),1,30,1.00,21,15,2500000,0,96651910-K,M21932-3
NEWREST CATERING CHILE  (M21940-4),1,30,1.00,21,15,2500000,0,96651910-K,M21940-4
NEWREST CATERING CHILE  (M21941-2),1,30,1.00,21,15,2500000,0,96651910-K,M21941-2
NEWREST CATERING CHILE  (M21942-0),1,30,1.00,21,15,2500000,0,96651910-K,M21942-0
NEWREST CATERING CHILE  (M21945-5),1,30,1.00,21,15,2500000,0,96651910-K,M21945-5
NEWREST CATERING CHILE  (M21946-3),1,30,1.00,21,15,2500000,0,96651910-K,M21946-3
NEWREST CATERING CHILE  (M21947-1),1,30,1.00,21,15,2500000,0,96651910-K,M21947-1
NEWREST CATERING CHILE  (M21948-K),1,30,1.00,21,15,2500000,0,96651910-K,M21948-K
NEWREST CATERING CHILE  (M21949-8),1,30,1.00,21,15,2500000,0,96651910-K,M21949-8
NEWREST CATERING CHILE  (M21976-5),1,30,1.00,21,15,2500000,0,96651910-K,M21976-5
NEWREST CATERING CHILE  (M21999-4),1,30,1.00,21,15,2500000,0,96651910-K,M21999-4
NEWREST CATERING CHILE  (M22015-1),1,30,1.00,21,15,2500000,0,96651910-K,M22015-1
NEWREST CATERING CHILE  (M22024-0),1,30,1.00,21,15,2500000,0,96651910-K,M22024-0
NEWREST CATERING CHILE  (M22063-1),1,30,1.00,21,15,2500000,0,96651910-K,M22063-1
NEWREST CATERING CHILE  (M22064-K),1,30,1.00,21,15,2500000,0,96651910-K,M22064-K
NEWREST CATERING CHILE  (M22065-8),1,30,1.00,21,15,2500000,0,96651910-K,M22065-8
NEWREST CATERING CHILE  (M22066-6),1,30,1.00,21,15,2500000,0,96651910-K,M22066-6
NEWREST CATERING CHILE  (M22067-4),1,30,1.00,21,15,2500000,0,96651910-K,M22067-4
NEWREST CATERING CHILE  (M22068-2),1,30,1.00,21,15,2500000,0,96651910-K,M22068-2
NEWREST CATERING CHILE  (M22079-8),1,30,1.00,21,15,2500000,0,96651910-K,M22079-8
NEWREST CATERING CHILE  (M22123-9),1,30,1.00,21,15,2500000,0,96651910-K,M22123-9
NEWREST CATERING CHILE  (M22124-7),1,30,1.00,21,15,2500000,0,96651910-K,M22124-7
NEWREST CATERING CHILE  (M22125-5),1,30,1.00,21,15,2500000,0,96651910-K,M22125-5
NEWREST CATERING CHILE  (M22126-3),1,30,1.00,21,15,2500000,0,96651910-K,M22126-3
NEWREST CATERING CHILE  (M22127-1),1,30,1.00,21,15,2500000,0,96651910-K,M22127-1
NEWREST CATERING CHILE  (M22128-K),1,30,1.00,21,15,2500000,0,96651910-K,M22128-K
NEWREST CATERING CHILE  (M22159-K),1,30,1.00,21,15,2500000,0,96651910-K,M22159-K
NEWREST CATERING CHILE  (M22180-8),1,30,1.00,21,15,2500000,0,96651910-K,M22180-8
NEWREST CATERING CHILE  (M22192-1),1,30,1.00,21,15,2500000,0,96651910-K,M22192-1
NEWREST CATERING CHILE  (M22303-7),1,30,1.00,21,15,2500000,0,96651910-K,M22303-7
NEWREST CATERING CHILE  (M22617-6),1,30,1.00,21,15,1000000,0,96651910-K,M22617-6
NEWREST CATERING CHILE  (M22721-0),1,30,1.00,21,15,1000000,0,96651910-K,M22721-0
NEWREST CATERING CHILE  (M22723-7),1,30,1.00,21,15,1000000,0,96651910-K,M22723-7
NEWREST CATERING CHILE  (M22724-5),1,30,1.00,21,15,1000000,0,96651910-K,M22724-5
NEWREST CATERING CHILE  (M22725-3),1,30,1.00,21,15,1000000,0,96651910-K,M22725-3
NEWREST CATERING CHILE  (M22726-1),1,30,1.00,21,15,1000000,0,96651910-K,M22726-1
NEWREST CATERING CHILE  (M22727-K),1,30,1.00,21,15,1000000,0,96651910-K,M22727-K
NEWREST CATERING CHILE  (M22728-8),1,30,1.00,21,15,1000000,0,96651910-K,M22728-8
NEWREST CATERING CHILE  (M22800-4),1,30,1.00,21,15,1000000,0,96651910-K,M22800-4
NEWREST CATERING CHILE  (M23046-7),1,30,1.00,21,15,1000000,0,96651910-K,M23046-7
NEWREST CATERING CHILE  (M23048-3),1,30,1.00,21,15,1000000,0,96651910-K,M23048-3
NEWREST CATERING CHILE  (M23111-0),1,30,1.00,21,15,1000000,0,96651910-K,M23111-0
NEWREST CATERING CHILE  (M23112-9),1,30,1.00,21,15,1000000,0,96651910-K,M23112-9
NEWREST CATERING CHILE  (M23408-K),1,30,1.00,21,15,1000000,0,96651910-K,M23408-K
NEWREST CATERING CHILE  (M23425-K),1,30,1.00,21,15,1000000,0,96651910-K,M23425-K
NEWREST CATERING CHILE  (M23566-3),1,30,1.00,21,15,1000000,0,96651910-K,M23566-3
RFP LOGISTICA LIMITADA (M20905-0),1,30,1.00,21,15,110000000,0,77490350-K,M20905-0
RFP LOGISTICA LIMITADA (M22632-K),1,30,1.00,21,15,1000000,0,77490350-K,M22632-K
SCHWAGER SERVICE S.A. (F01110-7),1,30,1.00,21,15,1,0,76145047-6,F01110-7
SCHWAGER SERVICE S.A. (F01117-4),1,30,1.00,21,15,1,0,76145047-6,F01117-4
SCHWAGER SERVICE S.A. (F01119-0),1,30,1.00,21,15,1,0,76145047-6,F01119-0
SICOMAQ SPA (M20748-1),1,30,1.00,21,15,1000000,0,79730570-7,M20748-1
SICOMAQ SPA (M22492-0),1,30,1.00,21,15,1000000,0,79730570-7,M22492-0
SICOMAQ SPA (M22493-9),1,30,1.00,21,15,1000000,0,79730570-7,M22493-9
SICOMAQ SPA (M22494-7),1,30,1.00,21,15,1000000,0,79730570-7,M22494-7
SICOMAQ SPA (M22502-1),1,30,1.00,21,15,1000000,0,79730570-7,M22502-1
SICOMAQ SPA (M22504-8),1,30,1.00,21,15,1000000,0,79730570-7,M22504-8
SICOMAQ SPA (M22505-6),1,30,1.00,21,15,1000000,0,79730570-7,M22505-6
SICOMAQ SPA (M22506-4),1,30,1.00,21,15,1000000,0,79730570-7,M22506-4
SICOMAQ SPA (M22522-6),1,30,1.00,21,15,1000000,0,79730570-7,M22522-6
SICOMAQ SPA (M22523-4),1,30,1.00,21,15,1000000,0,79730570-7,M22523-4
SICOMAQ SPA (M22524-2),1,30,1.00,21,15,1000000,0,79730570-7,M22524-2
SICOMAQ SPA (M22525-0),1,30,1.00,21,15,1000000,0,79730570-7,M22525-0
SICOMAQ SPA (M22526-9),1,30,1.00,21,15,1000000,0,79730570-7,M22526-9
SICOMAQ SPA (M22546-3),1,30,1.00,21,15,1000000,0,79730570-7,M22546-3
SICOMAQ SPA (M22547-1),1,30,1.00,21,15,1000000,0,79730570-7,M22547-1
SICOMAQ SPA (M22562-5),1,30,1.00,21,15,1000000,0,79730570-7,M22562-5
SICOMAQ SPA (M22563-3),1,30,1.00,21,15,1000000,0,79730570-7,M22563-3
SICOMAQ SPA (M22564-1),1,30,1.00,21,15,1000000,0,79730570-7,M22564-1
SICOMAQ SPA (M22594-3),1,30,1.00,21,15,1000000,0,79730570-7,M22594-3
SICOMAQ SPA (M22595-1),1,30,1.00,21,15,1000000,0,79730570-7,M22595-1
SICOMAQ SPA (M22609-5),1,30,1.00,21,15,1000000,0,79730570-7,M22609-5
SICOMAQ SPA (M22610-9),1,30,1.00,21,15,1000000,0,79730570-7,M22610-9
SICOMAQ SPA (M22611-7),1,30,1.00,21,15,1000000,0,79730570-7,M22611-7
SICOMAQ SPA (M22612-5),1,30,1.00,21,15,1000000,0,79730570-7,M22612-5
SICOMAQ SPA (M22627-3),1,30,1.00,21,15,1000000,0,79730570-7,M22627-3
SICOMAQ SPA (M22628-1),1,30,1.00,21,15,1000000,0,79730570-7,M22628-1
SICOMAQ SPA (M22629-K),1,30,1.00,21,15,1000000,0,79730570-7,M22629-K
SICOMAQ SPA (M22630-3),1,30,1.00,21,15,1000000,0,79730570-7,M22630-3
SICOMAQ SPA (M22645-1),1,30,1.00,21,15,1000000,0,79730570-7,M22645-1
SICOMAQ SPA (M22700-8),1,30,1.00,21,15,1000000,0,79730570-7,M22700-8
SICOMAQ SPA (M22701-6),1,30,1.00,21,15,1000000,0,79730570-7,M22701-6
SICOMAQ SPA (M22702-4),1,30,1.00,21,15,1000000,0,79730570-7,M22702-4
SICOMAQ SPA (M22703-2),1,30,1.00,21,15,1000000,0,79730570-7,M22703-2
SICOMAQ SPA (M22704-0),1,30,1.00,21,15,1000000,0,79730570-7,M22704-0
SICOMAQ SPA (M22717-2),1,30,1.00,21,15,1000000,0,79730570-7,M22717-2
SICOMAQ SPA (M22763-6),1,30,1.00,21,15,1000000,0,79730570-7,M22763-6
SICOMAQ SPA (M22764-4),1,30,1.00,21,15,1000000,0,79730570-7,M22764-4
SICOMAQ SPA (M22765-2),1,30,1.00,21,15,1000000,0,79730570-7,M22765-2
SOC. PRO AYUDA DEL NINO LISIADO (M23492-6),1,30,1.00,21,15,1000000,0,81897500-7,M23492-6
SOC. PRO AYUDA DEL NINO LISIADO (M23493-4),1,30,1.00,21,15,1000000,0,81897500-7,M23493-4
SOC. PRO AYUDA DEL NINO LISIADO (M23495-0),1,30,1.00,21,15,1000000,0,81897500-7,M23495-0
SOC. PRO AYUDA DEL NINO LISIADO (M23496-9),1,30,1.00,21,15,1000000,0,81897500-7,M23496-9
SOC. PRO AYUDA DEL NINO LISIADO (M23497-7),1,30,1.00,21,15,1000000,0,81897500-7,M23497-7
SOC. PRO AYUDA DEL NINO LISIADO (M23498-5),1,30,1.00,21,15,1000000,0,81897500-7,M23498-5
SOC. PRO AYUDA DEL NINO LISIADO (M23499-3),1,30,1.00,21,15,1000000,0,81897500-7,M23499-3
SOC. PRO AYUDA DEL NINO LISIADO (M23500-0),1,30,1.00,21,15,1000000,0,81897500-7,M23500-0
SOC. PRO AYUDA DEL NINO LISIADO (M23501-9),1,30,1.00,21,15,1000000,0,81897500-7,M23501-9
SOC. PRO AYUDA DEL NINO LISIADO (M23502-7),1,30,1.00,21,15,1000000,0,81897500-7,M23502-7
SOC. PRO AYUDA DEL NINO LISIADO (M23503-5),1,30,1.00,21,15,1000000,0,81897500-7,M23503-5
SOC. PRO AYUDA DEL NINO LISIADO (M23504-3),1,30,1.00,21,15,1000000,0,81897500-7,M23504-3
SOC. PRO AYUDA DEL NINO LISIADO (M23505-1),1,30,1.00,21,15,1000000,0,81897500-7,M23505-1
TECHINT CHILE SA (A11012-1),1,30,1.00,21,15,1,0,91426000-0,A11012-1
TECHINT CHILE SA (M22618-4),1,30,1.00,21,15,1000000,0,91426000-0,M22618-4
TECHINT CHILE SA (M22770-9),1,30,1.00,21,15,1000000,0,91426000-0,M22770-9
TECHINT CHILE SA (M22862-4),1,30,1.00,21,15,1000000,0,91426000-0,M22862-4
TECHINT CHILE SA (M23289-3),1,30,1.00,21,15,1000000,0,91426000-0,M23289-3
 TECNOLOGIAS COBRA LTDA.,1,30,1.00,21,15,1,0,96856610-5,B15531-5
ACCIONA PATACHE S.A.,1,30,1.00,21,15,1000000,0,76181135-5,M23457-8
AFJ HEALTH & SAFETY CHILE SPA,1,30,1.00,21,15,1000000,0,76246532-9,M23467-5
AGENCIAS MARITIMAS DEL NORTE S A,1,30,1.00,21,15,1,0,82994500-2,C23328-K
ARRIAGADA SILVA INGENIERIA Y MONTAJE SPA,1,30,1.00,21,15,1,0,77223081-8,E79360-6
ASESORES EN VIAJES S.A.,1,30,1.00,21,15,1000000,0,96851800-3,M23140-4
ASESORIA TECNICA PUCARA S.A.,1,30,1.00,21,15,2500000,0,96625270-7,M21061-K
"ASESORIAS, PROYECTOS Y CONSTRUCCION 3CS ",1,30,1.00,21,15,1000000,0,76823065-K,M23738-0
ASOC.DE GENDARMERIA TECNICOS PROFESIONAL,1,30,1.00,21,15,1,0,65106151-2,H41147-1
ATECKMIN SPA,1,30,1.00,21,15,1,0,77392338-8,E79364-9
ATENTO CHILE SA,1,30,1.00,21,15,1000000,0,96895220-K,M23507-8
AYCA CONSULTORES LTDA. ,1,30,1.00,21,15,1,0,77165855-5,H41165-K
BARAHONA Y MELO LIMITADA ,1,30,1.00,21,15,1,0,76825440-0,B15550-1
BARNERT BOSCH Y OYARZUN INGENIERIA SPA ,1,30,1.00,21,15,1,0,79884150-5,M19831-8
BECHTEL CHILE LTDA,1,30,1.00,21,15,1000000,0,95207000-2,M22761-K
BEL - RAY CHILE S.A.,1,30,1.00,21,15,1000000,0,96522880-2,M23596-5
BLANCO VIAJES S.A.,1,30,1.00,21,15,1,0,80116100-6,M20456-3
BRINKS CHILE SPA,1,30,1.00,21,15,1000000,0,86431800-2,M23760-7
BROADSPECTRUM CHILE SPA,1,30,1.00,21,15,1,0,76050301-0,B15523-4
BUFFER CONSULTORES LIMITADA,1,30,1.00,21,15,1000000,0,76190907-K,M23478-0
C&M CHILE SPA ,1,30,1.00,21,15,1000000,0,76178194-4,M23444-6
CEIM ASESORIAS Y SERVICIOS LTDA ,1,30,1.00,21,15,1,0,76613900-0,B15495-5
CENTRO ESTUD MEDICION Y CERTIFIC DE CALI,1,30,1.00,21,15,2500000,0,81185000-4,M21301-5
